序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
71,木蘭植物門,木蘭綱,唇形目,紫草科,琉璃草屬,琉璃草,"一年生至多年生草本。葉披針形至 狀披針形，基部葉長8-20 cm，往上漸減其長度，基部葉柄長約3. 5 cm。花瓣藍色。",全島山區草地及荒廢地。
72,木蘭植物門,木蘭綱,唇形目,紫草科,琉璃草屬,高山倒提壺,"多年生草本。葉倒披針形至線狀披針形，長7-10 cm；葉毛基部具一圈鈣化細胞或不具之。花瓣藍色。 多年生草本，全株密被白色毛茸。葉長披針形，互生，全緣。花期7~8月，花小，    多數，藍紫色，由莖頂抽出。果約10月成熟，扁卵形，具長鉤毛。性喜陽光，生於開闊之短草地或岩屑地，合歡山區於克難關及往主峰途中可見之。",中北部高海拔谷地。
73,木蘭植物門,木蘭綱,唇形目,紫草科,生果草屬,臥莖同籬生果草,"屬特徵:一年生匍匐性草本。花單生，近無柄；花瓣5，無鱗片；子房4淺裂，花柱頂生。核果，熟時先裂成二瓣，最後裂成四分核。 種特徵:葉長橢圓形至長橢圓倒卵形，長5-20 mm；側脈3-5對，於上表面處深陷；葉緣鈍鋸齒至淺裂，凹陷處與側脈相接；兩面被絹狀毛。花白色。",南部低海拔乾地、田野處。
74,木蘭植物門,木蘭綱,唇形目,紫草科,盾果草屬,盾果草,"屬特徵:草本。葉互生，全緣。花瓣5，喉具鱗片。子房四裂，花柱基生。四小堅果，具2層杯狀外部突出物。 種特徵:一年生至二年生草本，莖被絹狀曲柔毛。基部葉叢生，匙形，長3-18 cm，莖生葉卵形至長橢圓形，長1-2 cm，兩面被粗毛。花瓣白色至藍色。果之杯狀外層上端具15齒。",全島中低海拔山野處。
75,木蘭植物門,木蘭綱,唇形目,紫草科,破布子屬,金平氏破布子,"落葉小喬木，被棕褐色逆毛。葉披針形至卵形，長7-22 cm，全緣或疏鋸齒，鋸齒先端驟凸。花白色；花萼具10條明顯縱稜；花藥微突出。",僅見於蘭嶼和恆春半島的樹林中。
76,木蘭植物門,木蘭綱,唇形目,紫草科,破布子屬,破布子,"落葉中喬木，被褐色粗毛。葉披針卵形至寬卵形，長6-15 cm，全緣、波狀或偶而疏細鈍齒緣，葉毛基部具鈣化細胞。花黃白色；花藥明顯突出。",全島低海拔向陽森林中。
77,木蘭植物門,木蘭綱,唇形目,紫草科,碧果草屬,假酸漿,"屬特徵:多年生草本。葉對生或近乎對生，全緣。花序頂生；萼片5，果後明顯膨大；花瓣5，通常具鱗片，花藥具長且扭曲之尾芒；子房四室；花柱頂生，甚長。果實非常成熟時方裂成4小堅果。 種特徵:大型直立草本，高可達2m。葉倒披針形至橢圓形，長7-22 cm，兩面疏被剛匐毛，柄長1-1.5 cm。萼片花時長1-1.5 cm，果時長可至2 cm；花冠白色至粉紅色，具鱗片。",全島低海拔山坡林緣及樹叢。
78,木蘭植物門,木蘭綱,唇形目,紫草科,紫丹屬,白水木,"灌木至小喬木。葉叢聚枝條先端，倒卵形至匙形，長10-20 cm，密被灰白色絹絨毛，先端鈍狀至圓形。花瓣白色至粉紅色。核果白色。 灌木至中喬木，樹皮灰褐色；枝粗，有顯著葉痕；小枝、葉、花序全被銀白色絹毛。葉輪生枝端，倒卵形至匙形，略肉質，長10~15cm，寬4~5cm，殆無柄。花無梗，密生一側。","臺灣南北兩端、蘭嶼、綠島等沙灘。 白水木全身披著銀白色絹毛，在濱海地區相當亮眼，它天生就適合生長在海岸沙灘，既抗旱又耐潮，在沿海地區，不論單株或帶狀種植都是極佳的樹種。 全島南北兩端及蘭嶼，綠島的沙灘。"
79,木蘭植物門,木蘭綱,唇形目,紫草科,紫丹屬,冷飯藤,"蔓性灌木。葉互生，長橢圓披針形至卵形，長6-12 cm，疏被剛匐毛，先端漸尖。花瓣白色。核果淺黃色。",南部近海乾燥林中。
80,木蘭植物門,木蘭綱,唇形目,紫草科,紫草屬,梓木草,"屬特徵:葉互生，全緣。花單一或聚繖花序；花瓣5，喉部具鱗片。子房四深裂，花柱基生。四小堅果。 種特徵:多年生草本，具根莖，全株被小剛伏毛。葉匙形至倒披針形，長2-6 cm，基部漸狹至近無柄。花瓣藍色至藍紫色。",僅見於東部山地。
81,木蘭植物門,木蘭綱,唇形目,紫草科,細纍子草屬,細纍子草,"屬特徵:一至二年生草本。花單生，但在植物上部常成有葉的總狀花序。花瓣5，喉部具鱗片；小堅果瘤狀。 種特徵:匍匐性草本；全株被剛匐毛，葉毛基部有鈣化細胞。葉卵形至披針形，短於6 cm，邊緣微波狀。花瓣淺藍色或白色。",全島低海拔平野。
82,木蘭植物門,木蘭綱,唇形目,紫草科,附地草屬,南湖附地草,"葉橢圓形長1-2 cm，寬0.5-1.2 cm，先端微凹具突尖，葉緣近平直，中肋下陷於上表面而微凸出於下表面。花瓣淺藍色。",全島高海拔山區。
83,木蘭植物門,木蘭綱,唇形目,紫草科,附地草屬,台北附地草,"葉橢圓形至近圓形，長2-3.5 cm，寬1. 5-2.5 cm，先端一般凹缺，葉緣平直或皺波狀，中肋在上表面突起而在下表面凹陷。花瓣白色。",北部中高低海拔山區。
84,木蘭植物門,木蘭綱,唇形目,馬鞭草科,楔翅藤屬,爪楔翅藤,"大型攀援灌木，葉卵形至長橢圓形，10 ～ 15 cm長，全緣，幼時被星狀毛。總苞片匙形，花無柄；花萼4或5齒狀；花冠淡黃色，花冠筒與花萼近等長。果球形，約6 mm寬，無毛。",全島沿海地區。
85,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,花蓮海州常山,"灌木，小枝近圓柱狀，被褐色毛。葉卵狀橢圓形或長橢圓形，7-11 cm長，3-5 cm寬，全緣，兩面被褐毛。花序頂生或近頂生，苞片線形。花萼倒錐狀鐘形，裂片三角形；花冠外側被長毛，裂片具緣毛；子房橢球形，花柱2淺裂。",僅分佈花蓮太魯閣地區。
86,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,龍船花,"灌木，小枝在節上具長毛。葉闊卵形或近心形，5-18 cm長，5-16 cm寬，近全緣或3-5角狀淺裂，疏齒或近全緣。圓錐狀花序頂生，紅或橘紅色，無毛。花萼深裂；花冠紅或橘紅色，偶白色，外側被微毛。果藍綠色。",全島低海拔地區。
87,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,苦林盤,"援狀灌木，小枝被毛。葉革質，卵形或橢圓形，3-8 cm長，1.5-4 cm寬，兩端銳至鈍。             聚繖花序通常具3朵花。花萼淺齒狀；花白色， 花冠筒約2 cm長；花絲紫紅色。果倒卵形至近球形。  蔓莖狀灌木；枝稍軟，常會向側方延伸或伏臥地上或攀緣其他植物上升。葉十字對生，橢圓形，全緣，厚或呈肉質。花腋生或頂生；花冠筒白色，有紅暈；花絲細長伸出花筒外，呈紅紫色。核果倒卵形。由於生長海邊，十分耐鹽及耐濕。",台灣則常見於沿海低地及潮溝、堤防邊，耐鹽及耐濕性極高，適合海岸土砂扦止、綠籬及觀賞之用。
88,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,海州常山,"灌木至小喬木，小枝被白至銹褐色毛。葉卵形至三角形，6-20 cm長，3.5-12 cm寬，基部截形、淺心形或楔形，全緣或疏齒緣，疏或密被毛。複聚繖花序2-3次分枝。花萼由綠轉紫紅色；花冠白色。果球形，藍色。",全島低至中海拔地區。
89,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,大青,"灌木，枝葉深綠色。葉長卵形或長橢圓形，5-16 cm長，2-7 cm寬，全緣或疏齒緣，疏被毛；葉柄3-10 cm長。花序鬆散，苞片線形。花萼5裂，三角形；花冠白色，外側被毛及腺毛。果球形，藍紫色。",全島低至中海拔地區。
90,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海州常山屬,白毛臭牡丹,"灌木，小枝被淡褐色毛。葉闊卵形或略心形，8-16 cm長，4-9 cm 寬，兩面被柔毛；葉柄3-10 cm長。花序集生成頭狀；苞片葉狀，卵形。花萼5深裂，卵至闊卵形，由綠轉紅；花冠白色，被短毛。果近球形，深藍色或黑色。",中、北部地區。
91,木蘭植物門,木蘭綱,唇形目,馬鞭草科,海茄冬屬,海茄冬,灌木，小枝方形。葉近無柄，革質，橢圓形或卵形，上表面光滑，下表面密佈極小的腺毛。聚繖花序呈頭狀；苞片、花萼及花冠外側被絨毛。花冠4裂，黃色。子房密生絨毛。果近卵形，上部被毛。,台灣北由新竹紅毛港南至屏東大鵬灣的西海岸皆有間歇分布，為台灣分布較廣數量較多的紅樹林植物。
92,木蘭植物門,木蘭綱,唇形目,馬鞭草科,牡荊屬,山埔姜,小喬木。3-5小葉；小葉倒卵形、倒卵狀橢圓形或長橢圓形，全緣或上半部粗鋸齒緣，脈上被短毛，下表面密被腺點。花序密被毛及腺點。花萼壺狀，外側被毛及腺點；花冠淡黃色，外側被毛；花絲無毛；子房具腺點。果倒卵形。,低海拔森林或灌叢中。
93,木蘭植物門,木蘭綱,唇形目,馬鞭草科,牡荊屬,黃荊,"灌木，枝方形，被灰毛。3-7小葉；小葉長卵形、披針形或狹披針形，3-11 cm長，0.5-3 cm寬，全緣或先端鋸齒緣，下表面密被短伏毛。花序密被毛。花萼外側被毛；花冠藍紫色，兩面被毛；雄蕊基部被毛；子房無毛。果倒錐狀。   灌木，枝方形，被灰毛。3到7出掌狀複葉；小葉長卵形、披針形或狹披針形，全緣或先端鋸齒緣，下表面密被短伏毛。花冠藍紫色。",全島低海拔地區。
94,木蘭植物門,木蘭綱,唇形目,馬鞭草科,牡荊屬,海埔姜,"匍匐灌木，節上長根，幼枝密被毛。葉單，倒卵形或橢圓形，2.5-5 cm長，1.5-3 cm寬，全緣，兩面密被短伏毛。花萼外側密被毛；花冠藍紫色，偶白色，兩側被毛；雄蕊基部密被毛；子房無毛。果近球狀。   匍匐性小灌木，枝幹均著生柔毛，枝葉具香味。葉為單葉，倒卵形或圓形，頭鈍或圓，基部楔狀，全緣，灰白色。花藍紫色。",全島低海拔地區。
95,木蘭植物門,木蘭綱,唇形目,馬鞭草科,牡荊屬,三葉蔓荊,灌木，小枝被灰毛。葉多為3小葉，雜有單葉；單葉者長橢圓形或倒卵形，複葉者小葉倒卵形或倒披針形；小葉近無柄，全緣，兩面被短伏毛。花序密被毛。花萼外側被毛；花冠藍紫色，兩面被毛；雄蕊基部被毛；子房無毛。,本省中部沿海地區。
96,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,鬼紫珠,"常綠灌木，植株密被長毛。葉橢圓形或倒卵形至倒披針形，15-35 cm 長，6-10 cm寬。花序緊密，苞片常呈葉狀。花無柄；花萼管狀，深裂，裂片狹三角形至近線形；花冠外側密被毛；花藥紫色；子房密佈腺點及毛。果球形，白色。",中、北部低海拔山區。
97,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,疏齒紫珠,"常綠灌木，新葉及嫩枝暗紫紅色。葉近革質，長橢圓形或狹橢圓形，6-12 cm 長，2-4 cm寬，疏齒緣，除葉柄及中肋外，近無毛及腺點。花萼略被毛；花冠粉紅色至白色；子房光滑。果橢球形，紫色，約3 mm寬。",大漢山以南，海拔約1000公尺以下之林緣或次生林中。
98,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,銳葉紫珠,"半落葉性灌木。葉倒卵形或長橢圓狀倒卵形，6-15 mm 長，1-4 cm寬，基部楔形或略心形，鋸齒緣。花萼鐘形，齒狀；花瓣外側被毛明顯，淡紫色；子房於上半部被腺點及星狀毛。果球形，紫色，約3 mm寬。",北部及東北部中低海拔山區。
99,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,疏花紫珠,"常綠灌木。成對的葉常不等大；葉狹倒卵形至倒披針形，6-13 cm 長，2-4 cm寬，齒緣，兩面具略密集的腺點。花萼鐘形，略齒狀；花冠近白色；花絲與花瓣近等長；子房密被腺點及疏被毛。果扁球形，紫色，4-6 mm寬。",大漢山以南，海拔約1000公尺以下之原始林緣中。
100,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,灰背葉紫珠,"常綠灌木。葉披針形，7-20 cm 長，1-4 cm寬，先端長尾狀漸尖，背面被極密的短星狀毛。花序6-9次分枝。花小，花絲細長，白色或偶淡粉紅色；子房上半部具腺點和星狀毛或偶光滑。果球形，紫色或偶白色，2-3 mm寬。",南橫至南迴公路之間，海拔約1000公尺左右之山區。
101,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,細葉紫珠,"常綠灌木，密被長單毛及腺毛；枝細長。葉披針形至長橢圓狀披針形，9-20 cm長，1-5 cm寬，先端長漸尖，基部圓鈍或心形；葉柄短於1 cm。花序約6次分枝。子房密佈腺點。果球形，成熟時由紫轉白色，約3.5 mm寬。",全省低至中海拔，路旁或次生林中。
102,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,巒大紫珠,"落葉灌木。葉狹橢圓形、倒披針形或披針形，4-15 cm 長，1-4 cm寬，細鋸齒緣；葉柄短於1 cm。花序2-4次分枝。花萼鐘狀，先端齒狀，略被毛；花冠粉紅色；花藥2-3 mm長；子房密",全省中海拔山區的森林中。
103,木蘭植物門,木蘭綱,唇形目,馬鞭草科,紫珠屬,長葉紫珠,"灌木至小喬木；小枝方形，紅褐色。葉橢圓形或披針形，17-23 cm 長，3-6(-10) cm寬，近全緣，正面僅在脈上被單毛，背面無毛。花無毛，具紅棕色腺點；子房先端具腺點，無毛。果球形，先端凹，約2.5 mm寬。",南投埔里及台北烏來山區。
104,木蘭植物門,木蘭綱,唇形目,馬鞭草科,臭黃荊屬,毛魚臭木,"小喬木，小枝被柔毛。葉卵形至倒卵狀長橢圓形，10-12 cm長，6-7 cm寬，全緣或細鈍齒緣，密被柔毛。花萼4-5裂；花冠淡綠白色。果球形，暗紫色。",產本島南部地區。
105,木蘭植物門,木蘭綱,唇形目,馬鞭草科,臭黃荊屬,八脈臭黃荊,"小喬木，小枝漸無毛。葉卵形至橢圓狀卵形，8-13 cm長，3-6 cm寬，全緣，側脈6-8對，脈上略被短毛。花序略被毛。花萼略4-5裂；花冠淡綠白色，外側無毛，內側被絨毛。果球形，暗紫色。",南部森林中。
106,木蘭植物門,木蘭綱,唇形目,馬鞭草科,臭黃荊屬,臭黃荊,"小喬木。葉卵形至長橢圓形，5-7 cm長，1.8-3.5 cm寬，上半部疏鋸齒緣或全緣，光滑無毛。聚繖花序錐狀。花黃色，外側密被腺毛。果球形，暗紫色。",東部和北部的森林中。
107,木蘭植物門,木蘭綱,唇形目,馬鞭草科,臭黃荊屬,臭娘子,"灌木或小喬木，小枝近無毛。葉長橢圓形至  長橢圓狀卵形，6-12 cm長，4-6 cm寬，中肋略被毛，下表面具腺點，側脈4-7對。花萼二唇形，4-5裂；花冠淡綠白色，外側無毛，內側被絨毛。果球形，暗紫色。",全島沿海地區。
108,木蘭植物門,木蘭綱,唇形目,馬鞭草科,臭黃荊屬,恆春臭黃荊,"灌木或小喬木，小枝漸無毛。葉卵形至橢圓形，4-7 cm長，2-4 cm寬，先端略波狀或疏齒緣，側脈5-7對，脈上被短毛。繖房狀聚繖花序頂生。花萼二唇形，4-5裂；花冠淡綠白色，外側無毛，內側被絨毛。果球形，暗紫色。",恆春半島。
109,木蘭植物門,木蘭綱,唇形目,馬鞭草科,蕕屬,灰葉蕕,"屬特徵:草本或灌木。葉對生，常具小腺點。花序腋生。花萼5裂；花冠略二唇形，下方的裂片較大；二強雄蕊，著生花冠筒頂端；子房4室。蒴果呈4小分核。 種特徵:草本，植株密被毛。葉卵形或長橢圓形，1.5-4.5 cm長，1.2-2 cm 寬；葉柄5-13 mm長。聚繖花序呈繖房狀。花萼杯狀，外被粗毛；花冠淡籃紫色，5裂，兩面被毛，較大的裂片邊緣細裂狀；子房被毛。果倒卵球形，被粗毛。 。",全省低海拔路旁或荒廢地
110,木蘭植物門,木蘭綱,唇形目,馬鞭草科,馬櫻丹屬,馬櫻丹,"屬特徵:直立或蔓性灌木，小枝常具刺。葉單，對生或輪生。穗狀花序呈柱狀或頭狀，通常腋生。花無柄，花萼截形或略齒狀；花冠顏色多變，雄蕊二強，著生花冠筒中部。子房二室。核果。 種特徵:灌木，莖方形。葉紙質，卵形至長卵形，4-7 cm長，2.5-4 cm寬，鋸齒緣。花序頭狀，具長柄。花多由黃轉紅、粉紅、橘紅或橘黃色。果球形，紫或黑色。 歸化種。",低海拔。
111,木蘭植物門,木蘭綱,唇形目,馬鞭草科,馬鞭草屬,馬鞭草,"草本，莖被短毛。葉多無柄，卵形或長橢圓形，3.5-10 cm長，0.8-4 cm寬，葉緣粗鋸齒或深裂。花序細長。花萼被短毛；花冠藍至紫色。果具4分核。",低、中海拔地區。
112,木蘭植物門,木蘭綱,唇形目,馬鞭草科,馬鞭草屬,柳葉馬鞭草,"直立草本，莖粗糙，稜上被粗短毛。葉披針形至長橢圓狀披針形，4-14 cm長，2.5-5 cm寬，近基部全緣。穗狀花序呈繖房狀，總苞片披針形。花萼5齒狀，外側被毛；花冠藍至淡紫紅色。果包於宿存花萼內。",北部地區。
